taxon_id,LFC (1Q),LFC (2Q),LFC (3Q),LFC (4Q),W,p,q,pattern,structural_zero (1Q),structural_zero (2Q),structural_zero (3Q),structural_zero (4Q)
Dermabacter,0,-0.022939191460626847,-0.23167630460631464,-0.4116429989361356,4.0834349586265635,0,0,-3,No,No,No,No
Helicobacter,0,1.5705622831224562e-16,3.4826131267401643e-16,-0.39410520473212013,3.0903572586287362,0,0,-3,No,No,No,No
Megasphaera,0,-0.10978891064312687,-0.7023891409409169,-0.9143469489194995,3.855199211488053,0,0,-3,No,No,No,No
Mitsuokella,0,-0.25254417882369445,-0.5951561687106458,-0.815001136729986,4.170264918292152,0,0,-3,No,No,No,No
Pedobacter,0,-0.04600477976009747,-0.14735708575266332,-0.4310417812533106,3.1810866669672317,0,0,-3,No,No,No,No
Propionibacteriaceae_[G-2],0,-0.34903285153192737,-0.5088681307915018,-0.6481177370462083,3.9399744752184196,0,0,-3,No,No,No,No
Saccharibacteria_(TM7)_[G-3],0,1.3197724841078363e-18,-0.2301270472567961,-0.9458397992105931,3.669565128346739,0.001,0.01525,-3,No,No,No,No
Tannerella,0,1.9596333771457482e-16,5.684374722613517e-16,-0.5570126130328501,3.335501255543453,0.001,0.01525,-3,No,No,No,No
Fretibacterium,0,0.3979870681482331,0.9745055806523364,1.0870714313745935,3.202934609367261,0.002,0.020333333333333332,3,No,No,No,No
Lachnoanaerobaculum,0,3.283413701299576e-20,-0.2835204659237967,-0.7898935492518441,3.2207539877876052,0.002,0.020333333333333332,-3,No,No,No,No
Lysinibacillus,0,-0.04311666545484541,-0.1413809710584624,-0.3214410907523729,3.1945016614710515,0.002,0.020333333333333332,-3,No,No,No,No
Oribacterium,0,-0.24000483593951166,-0.5148529300656405,-0.8411174620657027,3.3619779760341837,0.002,0.020333333333333332,-3,No,No,No,No
Ruminococcaceae_[G-1],0,-0.12959105569064297,-0.6299632364054925,-0.8772470198881873,3.030598757028779,0.004,0.03485714285714286,-3,No,No,No,No
Schlegelella,0,-0.10127271001682428,-0.10127271001682372,-0.40004895805652346,2.755521259969316,0.004,0.03485714285714286,-3,No,No,No,No
Bacteroides,0,-0.15850829011081327,-0.19927130466899165,-0.3726962665329583,2.8656419523057353,0.005,0.038125,-3,No,No,No,No
Cutibacterium,0,-0.21748289772889684,-0.3514683544052484,-0.46947943774113654,2.688220276099394,0.005,0.038125,-3,No,No,No,No
Mycoplasma,0,0.2794807925555638,0.5974276671023653,0.5974276671023653,2.4420772584012926,0.006,0.038526315789473686,3,No,No,No,No
Ottowia,0,0.18142849048169749,0.8680807790364964,0.8680807790364964,2.7623646638021997,0.006,0.038526315789473686,3,No,No,No,No
Saccharibacteria_(TM7)_[G-5],0,5.445148981811121e-20,-0.6427091094233764,-0.8800276578632455,2.9135843818557556,0.006,0.038526315789473686,-3,No,No,No,No
