Genus,Phylum,Percentage
Absconditabacteria_(SR1)_[G-1] (0.2%),Absconditabacteria_(SR1),0.2%
Actinomyces (2.8%),Actinobacteria,2.8%
Mobiluncus (0%),Actinobacteria,0%
Peptidiphaga (0.3%),Actinobacteria,0.3%
Kytococcus (0.1%),Actinobacteria,0.1%
Dietzia (0%),Actinobacteria,0%
Kocuria (0%),Actinobacteria,0%
Micrococcus (0%),Actinobacteria,0%
Rothia (2%),Actinobacteria,2%
Alloscardovia (0%),Actinobacteria,0%
Bifidobacterium (0%),Actinobacteria,0%
Parascardovia (0%),Actinobacteria,0%
Scardovia (0%),Actinobacteria,0%
Corynebacterium (2%),Actinobacteria,2%
Turicella (0%),Actinobacteria,0%
Lawsonella (0%),Actinobacteria,0%
Mycobacterium (0%),Actinobacteria,0%
Brevibacterium (0%),Actinobacteria,0%
Dermabacter (0%),Actinobacteria,0%
Arsenicicoccus (0%),Actinobacteria,0%
Janibacter (0%),Actinobacteria,0%
Microbacterium (0%),Actinobacteria,0%
Sanguibacter (0%),Actinobacteria,0%
Acidipropionibacterium (0%),Actinobacteria,0%
Cutibacterium (0%),Actinobacteria,0%
Propionibacteriaceae_[G-1] (0%),Actinobacteria,0%
Propionibacteriaceae_[G-2] (0%),Actinobacteria,0%
Pseudopropionibacterium (0.5%),Actinobacteria,0.5%
Olsenella (0%),Actinobacteria,0%
Atopobium (0.1%),Actinobacteria,0.1%
Cryptobacterium (0%),Actinobacteria,0%
Eggerthella (0%),Actinobacteria,0%
Bacteroidetes_[G-3] (0.1%),Bacteroidetes,0.1%
Bacteroidetes_[G-5] (0.2%),Bacteroidetes,0.2%
Bacteroidetes_[G-7] (0%),Bacteroidetes,0%
Bacteroidaceae_[G-1] (0%),Bacteroidetes,0%
Bacteroides (0%),Bacteroidetes,0%
Bacteroidales_[G-2] (1.7%),Bacteroidetes,1.7%
Porphyromonas (3.4%),Bacteroidetes,3.4%
Tannerella (1.1%),Bacteroidetes,1.1%
Alloprevotella (2.6%),Bacteroidetes,2.6%
Prevotella (8.4%),Bacteroidetes,8.4%
Flavitalea (0%),Bacteroidetes,0%
Segetibacter (0%),Bacteroidetes,0%
Bergeyella (0.8%),Bacteroidetes,0.8%
Capnocytophaga (6.1%),Bacteroidetes,6.1%
Pedobacter (0%),Bacteroidetes,0%
Anaerolineae_[G-1] (0%),Chloroflexi,0%
Anoxybacillus (0.7%),Firmicutes,0.7%
Bacillus (0.8%),Firmicutes,0.8%
Lysinibacillus (0%),Firmicutes,0%
Gemella (0.9%),Firmicutes,0.9%
Brochothrix (0%),Firmicutes,0%
Paenibacillus (0%),Firmicutes,0%
Jeogalicoccus (0%),Firmicutes,0%
Staphylococcus (0%),Firmicutes,0%
Abiotrophia (0.2%),Firmicutes,0.2%
Aerococcus (0%),Firmicutes,0%
Alloiococcus (0%),Firmicutes,0%
Dolosigranulum (0%),Firmicutes,0%
Granulicatella (0.5%),Firmicutes,0.5%
Enterococcus (0.9%),Firmicutes,0.9%
Lactobacillus (0.1%),Firmicutes,0.1%
Lactococcus (0%),Firmicutes,0%
Streptococcus (9.7%),Firmicutes,9.7%
Clostridiales_[F-1][G-1] (0%),Firmicutes,0%
Clostridiales_[F-1][G-2] (0%),Firmicutes,0%
Clostridiales_[F-3][G-1] (0%),Firmicutes,0%
Eubacterium (0%),Firmicutes,0%
Pseudoramibacter (0%),Firmicutes,0%
Butyrivibrio (0%),Firmicutes,0%
Catonella (0.6%),Firmicutes,0.6%
Johnsonella (0.1%),Firmicutes,0.1%
Lachnoanaerobaculum (0.3%),Firmicutes,0.3%
Lachnospiraceae_[G-2] (0.1%),Firmicutes,0.1%
Lachnospiraceae_[G-3] (0.3%),Firmicutes,0.3%
Lachnospiraceae_[G-7] (0%),Firmicutes,0%
Lachnospiraceae_[G-8] (0%),Firmicutes,0%
Oribacterium (0.1%),Firmicutes,0.1%
Shuttleworthia (0%),Firmicutes,0%
Stomatobaculum (0%),Firmicutes,0%
Peptococcus (0.1%),Firmicutes,0.1%
Anaerococcus (0%),Firmicutes,0%
Finegoldia (0%),Firmicutes,0%
Parvimonas (0.9%),Firmicutes,0.9%
Peptoniphilaceae_[G-1] (0%),Firmicutes,0%
Peptoniphilaceae_[G-2] (0%),Firmicutes,0%
Peptoniphilaceae_[G-3] (0%),Firmicutes,0%
Peptoniphilus (0%),Firmicutes,0%
Filifactor (0.2%),Firmicutes,0.2%
Mogibacterium (0%),Firmicutes,0%
Peptostreptococcaceae_[XI][G-1] (0%),Firmicutes,0%
Peptostreptococcaceae_[XI][G-2] (0%),Firmicutes,0%
Peptostreptococcaceae_[XI][G-3] (0%),Firmicutes,0%
Peptostreptococcaceae_[XI][G-4] (0%),Firmicutes,0%
Peptostreptococcaceae_[XI][G-5] (0%),Firmicutes,0%
Peptostreptococcaceae_[XI][G-6] (0%),Firmicutes,0%
Peptostreptococcaceae_[XI][G-7] (0.7%),Firmicutes,0.7%
Peptostreptococcaceae_[XI][G-9] (0.3%),Firmicutes,0.3%
Peptostreptococcus (0.1%),Firmicutes,0.1%
Ruminococcaceae_[G-1] (0.1%),Firmicutes,0.1%
Ruminococcaceae_[G-2] (0%),Firmicutes,0%
Ruminococcaceae_[G-3] (0%),Firmicutes,0%
Bulleidia (0%),Firmicutes,0%
Eggerthia (0%),Firmicutes,0%
Erysipelothrix (0%),Firmicutes,0%
Erysipelotrichaceae_[G-1] (0%),Firmicutes,0%
Solobacterium (0.1%),Firmicutes,0.1%
Mollicutes_[G-1] (0%),Firmicutes,0%
Mollicutes_[G-2] (0%),Firmicutes,0%
Mycoplasma (0%),Firmicutes,0%
Mitsuokella (0%),Firmicutes,0%
Selenomonas (1.3%),Firmicutes,1.3%
Anaeroglobus (0%),Firmicutes,0%
Dialister (0.7%),Firmicutes,0.7%
Megasphaera (0%),Firmicutes,0%
Veillonella (3.4%),Firmicutes,3.4%
Veillonellaceae_[G-1] (0.2%),Firmicutes,0.2%
Fusobacterium (15.2%),Fusobacteria,15.2%
Leptotrichia (3.3%),Fusobacteria,3.3%
Sneathia (0%),Fusobacteria,0%
Gracilibacteria_(GN02)_[G-1] (0.1%),Gracilibacteria_(GN02),0.1%
Gracilibacteria_(GN02)_[G-2] (0%),Gracilibacteria_(GN02),0%
Micavibrio (0%),Proteobacteria,0%
Brevundimonas (0%),Proteobacteria,0%
Afipia (0%),Proteobacteria,0%
Bosea (0%),Proteobacteria,0%
Ochrobactrum (0%),Proteobacteria,0%
Defluvibacter (0%),Proteobacteria,0%
Agrobacterium (0%),Proteobacteria,0%
Mesorhizobium (0%),Proteobacteria,0%
Haematobacter (0.1%),Proteobacteria,0.1%
Paracoccus (1.4%),Proteobacteria,1.4%
Rhodobacter (0.4%),Proteobacteria,0.4%
Roseomonas (0%),Proteobacteria,0%
Enhydrobacter (0%),Proteobacteria,0%
Erythromicrobium (0%),Proteobacteria,0%
Novosphingobium (0%),Proteobacteria,0%
Porphyrobacter (0%),Proteobacteria,0%
Sphingomonas (0%),Proteobacteria,0%
Achromobacter (0%),Proteobacteria,0%
Bordetella (0%),Proteobacteria,0%
Burkholderia (0%),Proteobacteria,0%
Cupriavidus (0%),Proteobacteria,0%
Lautropia (1.7%),Proteobacteria,1.7%
Ralstonia (0%),Proteobacteria,0%
Comamonas (0%),Proteobacteria,0%
Delftia (0%),Proteobacteria,0%
Leptothrix (0%),Proteobacteria,0%
Ottowia (0.1%),Proteobacteria,0.1%
Schlegelella (0%),Proteobacteria,0%
Variovorax (0%),Proteobacteria,0%
Acidovorax (0%),Proteobacteria,0%
Eikenella (0.5%),Proteobacteria,0.5%
Kingella (0.8%),Proteobacteria,0.8%
Neisseria (4.1%),Proteobacteria,4.1%
Neisseriaceae_[G-1] (0%),Proteobacteria,0%
Simonsiella (0%),Proteobacteria,0%
Rhodocyclus (0%),Proteobacteria,0%
Bdellovibrio (0%),Proteobacteria,0%
Desulfobulbus (0%),Proteobacteria,0%
Desulfovibrio (0%),Proteobacteria,0%
Campylobacter (2.9%),Proteobacteria,2.9%
Helicobacter (0%),Proteobacteria,0%
Cardiobacterium (0.6%),Proteobacteria,0.6%
Enterobacter (0%),Proteobacteria,0%
Escherichia (0%),Proteobacteria,0%
Klebsiella (0%),Proteobacteria,0%
Proteus (0.1%),Proteobacteria,0.1%
Yersinia (0%),Proteobacteria,0%
Aggregatibacter (0.8%),Proteobacteria,0.8%
Haemophilus (1.2%),Proteobacteria,1.2%
Acinetobacter (0%),Proteobacteria,0%
Moraxella (0%),Proteobacteria,0%
Pseudomonas (0.3%),Proteobacteria,0.3%
Stenotrophomonas (0%),Proteobacteria,0%
Saccharibacteria_(TM7)_[G-1] (1.1%),Saccharibacteria_(TM7),1.1%
Saccharibacteria_(TM7)_[G-2] (0%),Saccharibacteria_(TM7),0%
Saccharibacteria_(TM7)_[G-3] (0.1%),Saccharibacteria_(TM7),0.1%
Saccharibacteria_(TM7)_[G-4] (0%),Saccharibacteria_(TM7),0%
Saccharibacteria_(TM7)_[G-6] (0.2%),Saccharibacteria_(TM7),0.2%
Saccharibacteria_(TM7)_[G-7] (0%),Saccharibacteria_(TM7),0%
Saccharibacteria_(TM7)_[G-8] (0%),Saccharibacteria_(TM7),0%
Saccharibacteria_(TM7)_[G-5] (0.2%),Saccharibacteria_(TM7),0.2%
Treponema (2.7%),Spirochaetes,2.7%
Jonquetella (0%),Synergistetes,0%
Pyramidobacter (0%),Synergistetes,0%
Fretibacterium (0.4%),Synergistetes,0.4%
Unknown (5.4%),Unknown,5.4%
